percent test accuracy 0.504968762398, loop: 10
percent test accuracy 0.505937516689, loop: 20
percent test accuracy 0.506093740463, loop: 30
percent test accuracy 0.506093740463, loop: 40
percent test accuracy 0.506406247616, loop: 50
percent test accuracy 0.506406247616, loop: 60
percent test accuracy 0.505937516689, loop: 70
percent test accuracy 0.506187498569, loop: 80
percent test accuracy 0.507125020027, loop: 90
percent test accuracy 0.506656229496, loop: 100
percent test accuracy 0.507875025272, loop: 110
percent test accuracy 0.507375001907, loop: 120
percent test accuracy 0.507468760014, loop: 130
percent test accuracy 0.507062494755, loop: 140
percent test accuracy 0.508437514305, loop: 150
percent test accuracy 0.508312523365, loop: 160
percent test accuracy 0.508499979973, loop: 170
percent test accuracy 0.50918751955, loop: 180
percent test accuracy 0.509500026703, loop: 190
percent test accuracy 0.509343743324, loop: 200
percent test accuracy 0.509656250477, loop: 210
percent test accuracy 0.510406255722, loop: 220
percent test accuracy 0.51034373045, loop: 230
percent test accuracy 0.509968757629, loop: 240
percent test accuracy 0.510625004768, loop: 250
percent test accuracy 0.510968744755, loop: 260
percent test accuracy 0.511437475681, loop: 270
percent test accuracy 0.511125028133, loop: 280
percent test accuracy 0.512374997139, loop: 290
percent test accuracy 0.512875020504, loop: 300
percent test accuracy 0.513031244278, loop: 310
percent test accuracy 0.513374984264, loop: 320
percent test accuracy 0.513999998569, loop: 330
percent test accuracy 0.513343751431, loop: 340
percent test accuracy 0.513531267643, loop: 350
percent test accuracy 0.513875007629, loop: 360
percent test accuracy 0.51296877861, loop: 370
percent test accuracy 0.513968765736, loop: 380
percent test accuracy 0.514562487602, loop: 390
percent test accuracy 0.514468729496, loop: 400
percent test accuracy 0.514812529087, loop: 410
percent test accuracy 0.515124976635, loop: 420
percent test accuracy 0.515187501907, loop: 430
percent test accuracy 0.516125023365, loop: 440
percent test accuracy 0.51537501812, loop: 450
percent test accuracy 0.516218721867, loop: 460
percent test accuracy 0.516250014305, loop: 470
percent test accuracy 0.516656279564, loop: 480
percent test accuracy 0.517437517643, loop: 490
percent test accuracy 0.517468750477, loop: 500
percent test accuracy 0.517468750477, loop: 510
percent test accuracy 0.517906248569, loop: 520
percent test accuracy 0.518374979496, loop: 530
percent test accuracy 0.518218755722, loop: 540
percent test accuracy 0.518999993801, loop: 550
percent test accuracy 0.519249975681, loop: 560
percent test accuracy 0.520218729973, loop: 570
