percent test accuracy 0.20361250639, loop: 10
percent test accuracy 0.203325003386, loop: 20
percent test accuracy 0.203362494707, loop: 30
percent test accuracy 0.203349992633, loop: 40
percent test accuracy 0.203649997711, loop: 50
percent test accuracy 0.203562498093, loop: 60
percent test accuracy 0.203887507319, loop: 70
percent test accuracy 0.204337492585, loop: 80
percent test accuracy 0.204325005412, loop: 90
percent test accuracy 0.204524993896, loop: 100
percent test accuracy 0.204575002193, loop: 110
percent test accuracy 0.20468750596, loop: 120
percent test accuracy 0.204649999738, loop: 130
percent test accuracy 0.204750001431, loop: 140
percent test accuracy 0.20496250689, loop: 150
percent test accuracy 0.204912498593, loop: 160
percent test accuracy 0.205437496305, loop: 170
percent test accuracy 0.205412507057, loop: 180
percent test accuracy 0.205550000072, loop: 190
percent test accuracy 0.205624997616, loop: 200
percent test accuracy 0.205337494612, loop: 210
percent test accuracy 0.205837503076, loop: 220
percent test accuracy 0.205925002694, loop: 230
percent test accuracy 0.205987498164, loop: 240
percent test accuracy 0.206287503242, loop: 250
percent test accuracy 0.206475004554, loop: 260
percent test accuracy 0.206599995494, loop: 270
percent test accuracy 0.206762492657, loop: 280
percent test accuracy 0.206812500954, loop: 290
percent test accuracy 0.207062497735, loop: 300
percent test accuracy 0.207300007343, loop: 310
percent test accuracy 0.207012504339, loop: 320
percent test accuracy 0.207224994898, loop: 330
percent test accuracy 0.207100003958, loop: 340
percent test accuracy 0.207424998283, loop: 350
percent test accuracy 0.207025006413, loop: 360
percent test accuracy 0.207487493753, loop: 370
percent test accuracy 0.207912504673, loop: 380
percent test accuracy 0.20793749392, loop: 390
percent test accuracy 0.208350002766, loop: 400
percent test accuracy 0.208262503147, loop: 410
percent test accuracy 0.208875000477, loop: 420
percent test accuracy 0.209175005555, loop: 430
percent test accuracy 0.209212496877, loop: 440
percent test accuracy 0.209637492895, loop: 450
percent test accuracy 0.210024997592, loop: 460
percent test accuracy 0.210250005126, loop: 470
percent test accuracy 0.21038749814, loop: 480
percent test accuracy 0.210649996996, loop: 490
percent test accuracy 0.2102625072, loop: 500
percent test accuracy 0.210374996066, loop: 510
percent test accuracy 0.210362493992, loop: 520
percent test accuracy 0.210924997926, loop: 530
percent test accuracy 0.211174994707, loop: 540
percent test accuracy 0.21121250093, loop: 550
percent test accuracy 0.211349993944, loop: 560
percent test accuracy 0.211300000548, loop: 570
percent test accuracy 0.211750000715, loop: 580
percent test accuracy 0.211412504315, loop: 590
percent test accuracy 0.211637496948, loop: 600
percent test accuracy 0.211962506175, loop: 610
percent test accuracy 0.211962506175, loop: 620
percent test accuracy 0.212487503886, loop: 630
percent test accuracy 0.212575003505, loop: 640
