percent test accuracy 0.335104167461, loop: 10
percent test accuracy 0.334687501192, loop: 20
percent test accuracy 0.335437506437, loop: 30
percent test accuracy 0.335979163647, loop: 40
percent test accuracy 0.3359375, loop: 50
percent test accuracy 0.336270838976, loop: 60
percent test accuracy 0.336291670799, loop: 70
percent test accuracy 0.336583346128, loop: 80
percent test accuracy 0.335958331823, loop: 90
percent test accuracy 0.336041659117, loop: 100
percent test accuracy 0.336208343506, loop: 110
percent test accuracy 0.336729168892, loop: 120
percent test accuracy 0.337083339691, loop: 130
percent test accuracy 0.337333321571, loop: 140
percent test accuracy 0.337208330631, loop: 150
percent test accuracy 0.337083339691, loop: 160
percent test accuracy 0.337125003338, loop: 170
percent test accuracy 0.336895823479, loop: 180
percent test accuracy 0.337249994278, loop: 190
percent test accuracy 0.337000012398, loop: 200
percent test accuracy 0.337270826101, loop: 210
percent test accuracy 0.33785417676, loop: 220
percent test accuracy 0.337479174137, loop: 230
percent test accuracy 0.337208330631, loop: 240
percent test accuracy 0.337062507868, loop: 250
percent test accuracy 0.337479174137, loop: 260
percent test accuracy 0.337145835161, loop: 270
percent test accuracy 0.337291657925, loop: 280
percent test accuracy 0.3379791677, loop: 290
percent test accuracy 0.337958335876, loop: 300
percent test accuracy 0.337958335876, loop: 310
percent test accuracy 0.338124990463, loop: 320
percent test accuracy 0.338208347559, loop: 330
percent test accuracy 0.337895840406, loop: 340
percent test accuracy 0.337770819664, loop: 350
percent test accuracy 0.33791667223, loop: 360
percent test accuracy 0.338312506676, loop: 370
percent test accuracy 0.337999999523, loop: 380
percent test accuracy 0.338562488556, loop: 390
percent test accuracy 0.338437497616, loop: 400
percent test accuracy 0.338499993086, loop: 410
percent test accuracy 0.338562488556, loop: 420
percent test accuracy 0.338604152203, loop: 430
percent test accuracy 0.338499993086, loop: 440
percent test accuracy 0.338708341122, loop: 450
percent test accuracy 0.338770836592, loop: 460
percent test accuracy 0.338791668415, loop: 470
percent test accuracy 0.339145839214, loop: 480
percent test accuracy 0.339374989271, loop: 490
percent test accuracy 0.339437514544, loop: 500
percent test accuracy 0.339583337307, loop: 510
percent test accuracy 0.339770823717, loop: 520
percent test accuracy 0.34008333087, loop: 530
percent test accuracy 0.340062499046, loop: 540
percent test accuracy 0.340312510729, loop: 550
percent test accuracy 0.340166658163, loop: 560
percent test accuracy 0.340187489986, loop: 570
percent test accuracy 0.340499997139, loop: 580
percent test accuracy 0.340187489986, loop: 590
percent test accuracy 0.34008333087, loop: 600
percent test accuracy 0.340541660786, loop: 610
percent test accuracy 0.340187489986, loop: 620
percent test accuracy 0.340062499046, loop: 630
percent test accuracy 0.340291678905, loop: 640
percent test accuracy 0.340687513351, loop: 650
percent test accuracy 0.340354174376, loop: 660
percent test accuracy 0.34020832181, loop: 670
percent test accuracy 0.340395838022, loop: 680
percent test accuracy 0.340604156256, loop: 690
percent test accuracy 0.340645819902, loop: 700
percent test accuracy 0.341374993324, loop: 710
percent test accuracy 0.3417083323, loop: 720
percent test accuracy 0.34164583683, loop: 730
percent test accuracy 0.341562509537, loop: 740
percent test accuracy 0.34183332324, loop: 750
percent test accuracy 0.342000007629, loop: 760
percent test accuracy 0.341916680336, loop: 770
percent test accuracy 0.342062503099, loop: 780
percent test accuracy 0.34218749404, loop: 790
percent test accuracy 0.342312514782, loop: 800
percent test accuracy 0.34218749404, loop: 810
percent test accuracy 0.342291653156, loop: 820
percent test accuracy 0.342708319426, loop: 830
percent test accuracy 0.342312514782, loop: 840
percent test accuracy 0.342708319426, loop: 850
percent test accuracy 0.342541664839, loop: 860
percent test accuracy 0.342791676521, loop: 870
percent test accuracy 0.342645823956, loop: 880
percent test accuracy 0.342145830393, loop: 890
percent test accuracy 0.343062490225, loop: 900
percent test accuracy 0.342979162931, loop: 910
percent test accuracy 0.342875003815, loop: 920
percent test accuracy 0.342958331108, loop: 930
percent test accuracy 0.342708319426, loop: 940
percent test accuracy 0.342541664839, loop: 950
percent test accuracy 0.342645823956, loop: 960
percent test accuracy 0.342854171991, loop: 970
percent test accuracy 0.342729181051, loop: 980
percent test accuracy 0.343020826578, loop: 990
percent test accuracy 0.343208342791, loop: 1000
percent test accuracy 0.343354165554, loop: 1010
percent test accuracy 0.343208342791, loop: 1020
percent test accuracy 0.343374997377, loop: 1030
percent test accuracy 0.344416677952, loop: 1040
percent test accuracy 0.344458341599, loop: 1050
percent test accuracy 0.343458324671, loop: 1060
percent test accuracy 0.34381249547, loop: 1070
percent test accuracy 0.344000011683, loop: 1080
percent test accuracy 0.344208329916, loop: 1090
percent test accuracy 0.343250006437, loop: 1100
percent test accuracy 0.343187510967, loop: 1110
percent test accuracy 0.343083322048, loop: 1120
percent test accuracy 0.343708336353, loop: 1130
percent test accuracy 0.344437509775, loop: 1140
percent test accuracy 0.344604164362, loop: 1150
percent test accuracy 0.344979166985, loop: 1160
percent test accuracy 0.344895839691, loop: 1170
percent test accuracy 0.344437509775, loop: 1180
percent test accuracy 0.344645828009, loop: 1190
percent test accuracy 0.344083338976, loop: 1200
percent test accuracy 0.345041662455, loop: 1210
percent test accuracy 0.345020830631, loop: 1220
percent test accuracy 0.345208346844, loop: 1230
percent test accuracy 0.345708340406, loop: 1240
percent test accuracy 0.345354169607, loop: 1250
percent test accuracy 0.345437496901, loop: 1260
percent test accuracy 0.345812499523, loop: 1270
percent test accuracy 0.345375001431, loop: 1280
percent test accuracy 0.345187485218, loop: 1290
percent test accuracy 0.344291657209, loop: 1300
percent test accuracy 0.345229178667, loop: 1310
percent test accuracy 0.344999998808, loop: 1320
percent test accuracy 0.345541656017, loop: 1330
percent test accuracy 0.345895826817, loop: 1340
percent test accuracy 0.345479160547, loop: 1350
percent test accuracy 0.345895826817, loop: 1360
percent test accuracy 0.346249997616, loop: 1370
percent test accuracy 0.345999985933, loop: 1380
percent test accuracy 0.346770823002, loop: 1390
percent test accuracy 0.34729167819, loop: 1400
percent test accuracy 0.346958339214, loop: 1410
percent test accuracy 0.346749991179, loop: 1420
percent test accuracy 0.346583336592, loop: 1430
percent test accuracy 0.346958339214, loop: 1440
percent test accuracy 0.346291661263, loop: 1450
percent test accuracy 0.346562504768, loop: 1460
percent test accuracy 0.346354156733, loop: 1470
percent test accuracy 0.346500009298, loop: 1480
percent test accuracy 0.346895843744, loop: 1490
percent test accuracy 0.346895843744, loop: 1500
percent test accuracy 0.346374988556, loop: 1510
percent test accuracy 0.346687495708, loop: 1520
percent test accuracy 0.346916675568, loop: 1530
percent test accuracy 0.347458332777, loop: 1540
percent test accuracy 0.34760415554, loop: 1550
percent test accuracy 0.34789583087, loop: 1560
percent test accuracy 0.348354160786, loop: 1570
percent test accuracy 0.34802082181, loop: 1580
percent test accuracy 0.348291665316, loop: 1590
percent test accuracy 0.348604172468, loop: 1600
percent test accuracy 0.348666667938, loop: 1610
percent test accuracy 0.348270833492, loop: 1620
percent test accuracy 0.348208338022, loop: 1630
percent test accuracy 0.348395824432, loop: 1640
percent test accuracy 0.348708331585, loop: 1650
percent test accuracy 0.348874986172, loop: 1660
percent test accuracy 0.348437488079, loop: 1670
percent test accuracy 0.348687499762, loop: 1680
percent test accuracy 0.348791658878, loop: 1690
percent test accuracy 0.349062502384, loop: 1700
percent test accuracy 0.35006248951, loop: 1710
percent test accuracy 0.349666655064, loop: 1720
percent test accuracy 0.349791675806, loop: 1730
percent test accuracy 0.349750012159, loop: 1740
percent test accuracy 0.349729180336, loop: 1750
percent test accuracy 0.349541664124, loop: 1760
percent test accuracy 0.348541676998, loop: 1770
percent test accuracy 0.349750012159, loop: 1780
percent test accuracy 0.349145829678, loop: 1790
percent test accuracy 0.350437492132, loop: 1800
percent test accuracy 0.350145846605, loop: 1810
percent test accuracy 0.350270837545, loop: 1820
percent test accuracy 0.350854158401, loop: 1830
percent test accuracy 0.351249992847, loop: 1840
percent test accuracy 0.350416660309, loop: 1850
percent test accuracy 0.350958347321, loop: 1860
percent test accuracy 0.350583344698, loop: 1870
percent test accuracy 0.350687503815, loop: 1880
percent test accuracy 0.35143750906, loop: 1890
percent test accuracy 0.351166665554, loop: 1900
percent test accuracy 0.350250005722, loop: 1910
percent test accuracy 0.350333333015, loop: 1920
percent test accuracy 0.351083338261, loop: 1930
percent test accuracy 0.350979179144, loop: 1940
percent test accuracy 0.350208342075, loop: 1950
percent test accuracy 0.350229173899, loop: 1960
percent test accuracy 0.351020842791, loop: 1970
percent test accuracy 0.350250005722, loop: 1980
percent test accuracy 0.351187497377, loop: 1990
percent test accuracy 0.351395845413, loop: 2000
percent test accuracy 0.352499991655, loop: 2010
percent test accuracy 0.352750003338, loop: 2020
percent test accuracy 0.352937489748, loop: 2030
percent test accuracy 0.353145837784, loop: 2040
percent test accuracy 0.35379165411, loop: 2050
percent test accuracy 0.353395819664, loop: 2060
percent test accuracy 0.353833347559, loop: 2070
percent test accuracy 0.353770822287, loop: 2080
percent test accuracy 0.353770822287, loop: 2090
percent test accuracy 0.353895843029, loop: 2100
percent test accuracy 0.35372915864, loop: 2110
percent test accuracy 0.353458344936, loop: 2120
percent test accuracy 0.353104174137, loop: 2130
percent test accuracy 0.353249996901, loop: 2140
percent test accuracy 0.353437513113, loop: 2150
percent test accuracy 0.353333324194, loop: 2160
percent test accuracy 0.35354167223, loop: 2170
percent test accuracy 0.353958338499, loop: 2180
percent test accuracy 0.354020833969, loop: 2190
percent test accuracy 0.353500008583, loop: 2200
percent test accuracy 0.354229152203, loop: 2210
percent test accuracy 0.354145824909, loop: 2220
percent test accuracy 0.354562491179, loop: 2230
percent test accuracy 0.354000002146, loop: 2240
percent test accuracy 0.3536041677, loop: 2250
percent test accuracy 0.353708326817, loop: 2260
percent test accuracy 0.354437500238, loop: 2270
percent test accuracy 0.353437513113, loop: 2280
percent test accuracy 0.354624986649, loop: 2290
percent test accuracy 0.354999989271, loop: 2300
percent test accuracy 0.354916661978, loop: 2310
percent test accuracy 0.355145841837, loop: 2320
percent test accuracy 0.354562491179, loop: 2330
percent test accuracy 0.355041652918, loop: 2340
percent test accuracy 0.353937506676, loop: 2350
percent test accuracy 0.354854166508, loop: 2360
percent test accuracy 0.354937493801, loop: 2370
percent test accuracy 0.354166656733, loop: 2380
percent test accuracy 0.354166656733, loop: 2390
percent test accuracy 0.355458319187, loop: 2400
percent test accuracy 0.356312513351, loop: 2410
percent test accuracy 0.354687511921, loop: 2420
percent test accuracy 0.354854166508, loop: 2430
percent test accuracy 0.355479180813, loop: 2440
percent test accuracy 0.35570833087, loop: 2450
percent test accuracy 0.355687499046, loop: 2460
percent test accuracy 0.356124997139, loop: 2470
percent test accuracy 0.355604171753, loop: 2480
percent test accuracy 0.355874985456, loop: 2490
percent test accuracy 0.35552084446, loop: 2500
percent test accuracy 0.35541665554, loop: 2510
percent test accuracy 0.355437487364, loop: 2520
percent test accuracy 0.356499999762, loop: 2530
percent test accuracy 0.356062501669, loop: 2540
percent test accuracy 0.356145828962, loop: 2550
percent test accuracy 0.356562495232, loop: 2560
percent test accuracy 0.355687499046, loop: 2570
percent test accuracy 0.356333345175, loop: 2580
percent test accuracy 0.355854153633, loop: 2590
percent test accuracy 0.35552084446, loop: 2600
percent test accuracy 0.355791658163, loop: 2610
percent test accuracy 0.355874985456, loop: 2620
percent test accuracy 0.3556458354, loop: 2630
percent test accuracy 0.356520831585, loop: 2640
percent test accuracy 0.356562495232, loop: 2650
percent test accuracy 0.356916666031, loop: 2660
percent test accuracy 0.356562495232, loop: 2670
percent test accuracy 0.356375008821, loop: 2680
percent test accuracy 0.356395840645, loop: 2690
percent test accuracy 0.355937510729, loop: 2700
percent test accuracy 0.356437504292, loop: 2710
percent test accuracy 0.356541663408, loop: 2720
percent test accuracy 0.357104152441, loop: 2730
percent test accuracy 0.357833325863, loop: 2740
percent test accuracy 0.357374995947, loop: 2750
percent test accuracy 0.358083337545, loop: 2760
percent test accuracy 0.358520835638, loop: 2770
percent test accuracy 0.3573333323, loop: 2780
percent test accuracy 0.357062488794, loop: 2790
percent test accuracy 0.357062488794, loop: 2800
percent test accuracy 0.357958346605, loop: 2810
percent test accuracy 0.358520835638, loop: 2820
percent test accuracy 0.358375012875, loop: 2830
percent test accuracy 0.358041673899, loop: 2840
percent test accuracy 0.357958346605, loop: 2850
percent test accuracy 0.35787498951, loop: 2860
percent test accuracy 0.358395844698, loop: 2870
percent test accuracy 0.358541667461, loop: 2880
percent test accuracy 0.358145833015, loop: 2890
percent test accuracy 0.359520822763, loop: 2900
percent test accuracy 0.358916670084, loop: 2910
percent test accuracy 0.360437512398, loop: 2920
percent test accuracy 0.360374987125, loop: 2930
percent test accuracy 0.360270828009, loop: 2940
percent test accuracy 0.360312491655, loop: 2950
