percent test accuracy 0.361867010593, loop: 10
percent test accuracy 0.38601732254, loop: 20
percent test accuracy 0.401955038309, loop: 30
percent test accuracy 0.417892724276, loop: 40
percent test accuracy 0.429705381393, loop: 50
percent test accuracy 0.439730495214, loop: 60
percent test accuracy 0.44570556283, loop: 70
percent test accuracy 0.450980633497, loop: 80
percent test accuracy 0.458530724049, loop: 90
percent test accuracy 0.465780824423, loop: 100
percent test accuracy 0.465680807829, loop: 110
percent test accuracy 0.47249341011, loop: 120
percent test accuracy 0.479781001806, loop: 130
percent test accuracy 0.484781056643, loop: 140
percent test accuracy 0.486956089735, loop: 150
percent test accuracy 0.485681056976, loop: 160
percent test accuracy 0.493768662214, loop: 170
percent test accuracy 0.496406197548, loop: 180
percent test accuracy 0.502168774605, loop: 190
percent test accuracy 0.503018796444, loop: 200
percent test accuracy 0.504993796349, loop: 210
percent test accuracy 0.504706323147, loop: 220
percent test accuracy 0.511631369591, loop: 230
percent test accuracy 0.509381353855, loop: 240
percent test accuracy 0.514406442642, loop: 250
percent test accuracy 0.516243934631, loop: 260
percent test accuracy 0.521581530571, loop: 270
percent test accuracy 0.520493984222, loop: 280
percent test accuracy 0.517468988895, loop: 290
percent test accuracy 0.523594021797, loop: 300
percent test accuracy 0.529681622982, loop: 310
percent test accuracy 0.529981613159, loop: 320
percent test accuracy 0.528706610203, loop: 330
percent test accuracy 0.526994109154, loop: 340
percent test accuracy 0.529044091702, loop: 350
percent test accuracy 0.533294141293, loop: 360
percent test accuracy 0.536169230938, loop: 370
percent test accuracy 0.535656690598, loop: 380
percent test accuracy 0.540794253349, loop: 390
percent test accuracy 0.539069235325, loop: 400
percent test accuracy 0.535294175148, loop: 410
percent test accuracy 0.542119264603, loop: 420
percent test accuracy 0.539869248867, loop: 430
percent test accuracy 0.541356742382, loop: 440
percent test accuracy 0.544206798077, loop: 450
percent test accuracy 0.541781783104, loop: 460
percent test accuracy 0.544144272804, loop: 470
percent test accuracy 0.54515683651, loop: 480
percent test accuracy 0.551231861115, loop: 490
percent test accuracy 0.551769375801, loop: 500
percent test accuracy 0.55099439621, loop: 510
percent test accuracy 0.555256962776, loop: 520
percent test accuracy 0.553194403648, loop: 530
percent test accuracy 0.553481936455, loop: 540
percent test accuracy 0.557906985283, loop: 550
percent test accuracy 0.557019472122, loop: 560
percent test accuracy 0.559481978416, loop: 570
percent test accuracy 0.565082073212, loop: 580
percent test accuracy 0.558744490147, loop: 590
percent test accuracy 0.556069433689, loop: 600
percent test accuracy 0.560219526291, loop: 610
percent test accuracy 0.56330704689, loop: 620
percent test accuracy 0.566732108593, loop: 630
percent test accuracy 0.565607070923, loop: 640
percent test accuracy 0.560719490051, loop: 650
percent test accuracy 0.562857031822, loop: 660
percent test accuracy 0.562919557095, loop: 670
percent test accuracy 0.562832057476, loop: 680
percent test accuracy 0.571219623089, loop: 690
percent test accuracy 0.566569566727, loop: 700
percent test accuracy 0.570257127285, loop: 710
percent test accuracy 0.568857133389, loop: 720
percent test accuracy 0.57223212719, loop: 730
percent test accuracy 0.569832146168, loop: 740
percent test accuracy 0.571332156658, loop: 750
percent test accuracy 0.575282216072, loop: 760
percent test accuracy 0.573557198048, loop: 770
percent test accuracy 0.570519626141, loop: 780
percent test accuracy 0.578132212162, loop: 790
percent test accuracy 0.57745718956, loop: 800
percent test accuracy 0.582282304764, loop: 810
percent test accuracy 0.579394757748, loop: 820
percent test accuracy 0.576744735241, loop: 830
percent test accuracy 0.580594778061, loop: 840
percent test accuracy 0.578319728374, loop: 850
percent test accuracy 0.579407215118, loop: 860
percent test accuracy 0.58118224144, loop: 870
percent test accuracy 0.580557286739, loop: 880
percent test accuracy 0.582019746304, loop: 890
percent test accuracy 0.579844772816, loop: 900
percent test accuracy 0.582007288933, loop: 910
percent test accuracy 0.583107292652, loop: 920
percent test accuracy 0.5827947855, loop: 930
percent test accuracy 0.58291977644, loop: 940
percent test accuracy 0.585132300854, loop: 950
percent test accuracy 0.587319850922, loop: 960
percent test accuracy 0.585757315159, loop: 970
percent test accuracy 0.585094809532, loop: 980
percent test accuracy 0.588194847107, loop: 990
percent test accuracy 0.587344825268, loop: 1000
percent test accuracy 0.588107347488, loop: 1010
percent test accuracy 0.590807378292, loop: 1020
percent test accuracy 0.59398239851, loop: 1030
percent test accuracy 0.594257414341, loop: 1040
percent test accuracy 0.595519959927, loop: 1050
percent test accuracy 0.590532362461, loop: 1060
percent test accuracy 0.591444909573, loop: 1070
percent test accuracy 0.588894844055, loop: 1080
percent test accuracy 0.594119906425, loop: 1090
percent test accuracy 0.592157423496, loop: 1100
percent test accuracy 0.594394922256, loop: 1110
percent test accuracy 0.59920746088, loop: 1120
percent test accuracy 0.597632467747, loop: 1130
percent test accuracy 0.596732437611, loop: 1140
percent test accuracy 0.597057461739, loop: 1150
percent test accuracy 0.598032474518, loop: 1160
percent test accuracy 0.598282456398, loop: 1170
percent test accuracy 0.60044503212, loop: 1180
percent test accuracy 0.59883248806, loop: 1190
percent test accuracy 0.602695047855, loop: 1200
percent test accuracy 0.602232515812, loop: 1210
percent test accuracy 0.599232494831, loop: 1220
percent test accuracy 0.599807500839, loop: 1230
percent test accuracy 0.601420044899, loop: 1240
percent test accuracy 0.606382608414, loop: 1250
percent test accuracy 0.603382527828, loop: 1260
percent test accuracy 0.600995004177, loop: 1270
percent test accuracy 0.60155749321, loop: 1280
percent test accuracy 0.605557560921, loop: 1290
percent test accuracy 0.599744975567, loop: 1300
percent test accuracy 0.603857576847, loop: 1310
percent test accuracy 0.605220079422, loop: 1320
percent test accuracy 0.604132533073, loop: 1330
percent test accuracy 0.609382629395, loop: 1340
percent test accuracy 0.607495069504, loop: 1350
percent test accuracy 0.607932627201, loop: 1360
percent test accuracy 0.602845013142, loop: 1370
percent test accuracy 0.606795072556, loop: 1380
percent test accuracy 0.610445141792, loop: 1390
percent test accuracy 0.60888260603, loop: 1400
percent test accuracy 0.605495095253, loop: 1410
percent test accuracy 0.605382561684, loop: 1420
percent test accuracy 0.606982588768, loop: 1430
percent test accuracy 0.610432624817, loop: 1440
percent test accuracy 0.611570119858, loop: 1450
percent test accuracy 0.614282667637, loop: 1460
percent test accuracy 0.611682653427, loop: 1470
percent test accuracy 0.61349517107, loop: 1480
percent test accuracy 0.615632712841, loop: 1490
percent test accuracy 0.614645183086, loop: 1500
percent test accuracy 0.611070156097, loop: 1510
percent test accuracy 0.608357608318, loop: 1520
percent test accuracy 0.614207684994, loop: 1530
percent test accuracy 0.609082639217, loop: 1540
percent test accuracy 0.61187016964, loop: 1550
percent test accuracy 0.614482700825, loop: 1560
percent test accuracy 0.613357663155, loop: 1570
percent test accuracy 0.613657653332, loop: 1580
percent test accuracy 0.614220201969, loop: 1590
percent test accuracy 0.61484515667, loop: 1600
percent test accuracy 0.614970207214, loop: 1610
percent test accuracy 0.615345180035, loop: 1620
percent test accuracy 0.613195180893, loop: 1630
percent test accuracy 0.609820127487, loop: 1640
percent test accuracy 0.613282680511, loop: 1650
percent test accuracy 0.622232794762, loop: 1660
percent test accuracy 0.61770772934, loop: 1670
percent test accuracy 0.616232693195, loop: 1680
percent test accuracy 0.615957677364, loop: 1690
percent test accuracy 0.616332709789, loop: 1700
percent test accuracy 0.619795262814, loop: 1710
percent test accuracy 0.618557751179, loop: 1720
percent test accuracy 0.618482708931, loop: 1730
percent test accuracy 0.619132757187, loop: 1740
percent test accuracy 0.616507709026, loop: 1750
percent test accuracy 0.62058275938, loop: 1760
percent test accuracy 0.618157744408, loop: 1770
percent test accuracy 0.622970283031, loop: 1780
percent test accuracy 0.62132024765, loop: 1790
percent test accuracy 0.62418282032, loop: 1800
percent test accuracy 0.624532818794, loop: 1810
percent test accuracy 0.62107026577, loop: 1820
percent test accuracy 0.622845292091, loop: 1830
percent test accuracy 0.622745275497, loop: 1840
percent test accuracy 0.619520246983, loop: 1850
percent test accuracy 0.622882783413, loop: 1860
percent test accuracy 0.623732805252, loop: 1870
percent test accuracy 0.623932778835, loop: 1880
percent test accuracy 0.622070252895, loop: 1890
percent test accuracy 0.62132024765, loop: 1900
percent test accuracy 0.626082837582, loop: 1910
percent test accuracy 0.625495314598, loop: 1920
percent test accuracy 0.621395289898, loop: 1930
percent test accuracy 0.623907804489, loop: 1940
percent test accuracy 0.623920321465, loop: 1950
percent test accuracy 0.624245285988, loop: 1960
percent test accuracy 0.621432781219, loop: 1970
percent test accuracy 0.622782766819, loop: 1980
percent test accuracy 0.62454533577, loop: 1990
percent test accuracy 0.62504529953, loop: 2000
percent test accuracy 0.624120295048, loop: 2010
percent test accuracy 0.626582860947, loop: 2020
percent test accuracy 0.624932825565, loop: 2030
percent test accuracy 0.627482831478, loop: 2040
percent test accuracy 0.623470306396, loop: 2050
percent test accuracy 0.6275203228, loop: 2060
percent test accuracy 0.625857830048, loop: 2070
percent test accuracy 0.625307798386, loop: 2080
percent test accuracy 0.62467032671, loop: 2090
percent test accuracy 0.623195290565, loop: 2100
percent test accuracy 0.62565779686, loop: 2110
percent test accuracy 0.626395344734, loop: 2120
percent test accuracy 0.627632856369, loop: 2130
percent test accuracy 0.627207815647, loop: 2140
percent test accuracy 0.627957820892, loop: 2150
percent test accuracy 0.63175791502, loop: 2160
percent test accuracy 0.63362044096, loop: 2170
percent test accuracy 0.631545364857, loop: 2180
percent test accuracy 0.628670334816, loop: 2190
percent test accuracy 0.629032850266, loop: 2200
percent test accuracy 0.630745410919, loop: 2210
percent test accuracy 0.631295382977, loop: 2220
percent test accuracy 0.632295429707, loop: 2230
percent test accuracy 0.631907880306, loop: 2240
percent test accuracy 0.632695436478, loop: 2250
percent test accuracy 0.628370344639, loop: 2260
percent test accuracy 0.632632911205, loop: 2270
percent test accuracy 0.634945452213, loop: 2280
percent test accuracy 0.634645462036, loop: 2290
percent test accuracy 0.633857905865, loop: 2300
percent test accuracy 0.631195366383, loop: 2310
percent test accuracy 0.63002038002, loop: 2320
percent test accuracy 0.633195400238, loop: 2330
percent test accuracy 0.629695355892, loop: 2340
percent test accuracy 0.633345425129, loop: 2350
percent test accuracy 0.636720478535, loop: 2360
percent test accuracy 0.637707948685, loop: 2370
percent test accuracy 0.631470382214, loop: 2380
percent test accuracy 0.631570398808, loop: 2390
percent test accuracy 0.629732847214, loop: 2400
percent test accuracy 0.6361079216, loop: 2410
percent test accuracy 0.634182929993, loop: 2420
percent test accuracy 0.634045422077, loop: 2430
percent test accuracy 0.633895397186, loop: 2440
percent test accuracy 0.632682919502, loop: 2450
percent test accuracy 0.634695410728, loop: 2460
percent test accuracy 0.636845469475, loop: 2470
percent test accuracy 0.636270463467, loop: 2480
percent test accuracy 0.634820461273, loop: 2490
percent test accuracy 0.636532962322, loop: 2500
percent test accuracy 0.639632999897, loop: 2510
percent test accuracy 0.640220522881, loop: 2520
percent test accuracy 0.631770372391, loop: 2530
percent test accuracy 0.634920418262, loop: 2540
percent test accuracy 0.634370446205, loop: 2550
percent test accuracy 0.63884550333, loop: 2560
percent test accuracy 0.642333030701, loop: 2570
percent test accuracy 0.641495525837, loop: 2580
percent test accuracy 0.640183031559, loop: 2590
percent test accuracy 0.639733016491, loop: 2600
percent test accuracy 0.636170446873, loop: 2610
percent test accuracy 0.637307941914, loop: 2620
percent test accuracy 0.638920485973, loop: 2630
percent test accuracy 0.640433013439, loop: 2640
percent test accuracy 0.642470538616, loop: 2650
percent test accuracy 0.638670504093, loop: 2660
percent test accuracy 0.637357950211, loop: 2670
