percent test accuracy 0.48789024353, loop: 10
percent test accuracy 0.496734261513, loop: 20
percent test accuracy 0.506265819073, loop: 30
percent test accuracy 0.519734978676, loop: 40
percent test accuracy 0.535016715527, loop: 50
percent test accuracy 0.543298244476, loop: 60
percent test accuracy 0.548173367977, loop: 70
percent test accuracy 0.550423443317, loop: 80
percent test accuracy 0.553361058235, loop: 90
percent test accuracy 0.558986246586, loop: 100
percent test accuracy 0.563267588615, loop: 110
percent test accuracy 0.564486384392, loop: 120
percent test accuracy 0.567267715931, loop: 130
percent test accuracy 0.56879901886, loop: 140
percent test accuracy 0.57192414999, loop: 150
percent test accuracy 0.574799239635, loop: 160
percent test accuracy 0.57633048296, loop: 170
percent test accuracy 0.577236771584, loop: 180
percent test accuracy 0.582486927509, loop: 190
percent test accuracy 0.586080789566, loop: 200
percent test accuracy 0.588393390179, loop: 210
percent test accuracy 0.587049603462, loop: 220
percent test accuracy 0.586955845356, loop: 230
percent test accuracy 0.589455902576, loop: 240
percent test accuracy 0.591268479824, loop: 250
percent test accuracy 0.590049684048, loop: 260
percent test accuracy 0.586924612522, loop: 270
percent test accuracy 0.593456029892, loop: 280
percent test accuracy 0.592268526554, loop: 290
percent test accuracy 0.591893494129, loop: 300
percent test accuracy 0.591424703598, loop: 310
percent test accuracy 0.595018565655, loop: 320
percent test accuracy 0.597487449646, loop: 330
percent test accuracy 0.59751868248, loop: 340
percent test accuracy 0.597331166267, loop: 350
percent test accuracy 0.597862422466, loop: 360
percent test accuracy 0.598299920559, loop: 370
percent test accuracy 0.593831062317, loop: 380
percent test accuracy 0.593143522739, loop: 390
percent test accuracy 0.597081184387, loop: 400
percent test accuracy 0.597487449646, loop: 410
percent test accuracy 0.598393678665, loop: 420
percent test accuracy 0.59651863575, loop: 430
percent test accuracy 0.59901869297, loop: 440
percent test accuracy 0.601425051689, loop: 450
percent test accuracy 0.601706326008, loop: 460
percent test accuracy 0.602581322193, loop: 470
percent test accuracy 0.601581275463, loop: 480
percent test accuracy 0.600800037384, loop: 490
percent test accuracy 0.600706279278, loop: 500
percent test accuracy 0.60492515564, loop: 510
percent test accuracy 0.603518843651, loop: 520
percent test accuracy 0.603518843651, loop: 530
percent test accuracy 0.602206289768, loop: 540
percent test accuracy 0.602706313133, loop: 550
percent test accuracy 0.60505014658, loop: 560
percent test accuracy 0.605268895626, loop: 570
percent test accuracy 0.605581402779, loop: 580
percent test accuracy 0.606362700462, loop: 590
percent test accuracy 0.606581449509, loop: 600
percent test accuracy 0.606331467628, loop: 610
percent test accuracy 0.608487784863, loop: 620
percent test accuracy 0.610925316811, loop: 630
percent test accuracy 0.61042535305, loop: 640
percent test accuracy 0.60942530632, loop: 650
percent test accuracy 0.61167538166, loop: 660
percent test accuracy 0.612331628799, loop: 670
percent test accuracy 0.610894083977, loop: 680
percent test accuracy 0.612206637859, loop: 690
percent test accuracy 0.615144252777, loop: 700
percent test accuracy 0.612487912178, loop: 710
percent test accuracy 0.613956689835, loop: 720
percent test accuracy 0.614269196987, loop: 730
percent test accuracy 0.613862931728, loop: 740
percent test accuracy 0.610581576824, loop: 750
percent test accuracy 0.610706567764, loop: 760
percent test accuracy 0.613331675529, loop: 770
percent test accuracy 0.613269150257, loop: 780
percent test accuracy 0.6096752882, loop: 790
percent test accuracy 0.612519145012, loop: 800
percent test accuracy 0.611487865448, loop: 810
percent test accuracy 0.608956515789, loop: 820
percent test accuracy 0.614550471306, loop: 830
percent test accuracy 0.61545675993, loop: 840
percent test accuracy 0.616237998009, loop: 850
percent test accuracy 0.614675462246, loop: 860
percent test accuracy 0.614675462246, loop: 870
percent test accuracy 0.61558175087, loop: 880
percent test accuracy 0.614081680775, loop: 890
percent test accuracy 0.614269196987, loop: 900
percent test accuracy 0.614644229412, loop: 910
percent test accuracy 0.616550505161, loop: 920
percent test accuracy 0.616425514221, loop: 930
percent test accuracy 0.617331802845, loop: 940
percent test accuracy 0.620363116264, loop: 950
percent test accuracy 0.617175519466, loop: 960
percent test accuracy 0.614769220352, loop: 970
percent test accuracy 0.619394361973, loop: 980
percent test accuracy 0.620425641537, loop: 990
percent test accuracy 0.620738148689, loop: 1000
percent test accuracy 0.618831813335, loop: 1010
percent test accuracy 0.621956944466, loop: 1020
percent test accuracy 0.621519446373, loop: 1030
percent test accuracy 0.619269371033, loop: 1040
percent test accuracy 0.619269371033, loop: 1050
percent test accuracy 0.619738101959, loop: 1060
percent test accuracy 0.620894432068, loop: 1070
percent test accuracy 0.619675636292, loop: 1080
percent test accuracy 0.622331976891, loop: 1090
percent test accuracy 0.621925711632, loop: 1100
percent test accuracy 0.621550679207, loop: 1110
percent test accuracy 0.621956944466, loop: 1120
percent test accuracy 0.620269358158, loop: 1130
percent test accuracy 0.621113181114, loop: 1140
percent test accuracy 0.623269498348, loop: 1150
percent test accuracy 0.623613238335, loop: 1160
percent test accuracy 0.627175867558, loop: 1170
percent test accuracy 0.620644390583, loop: 1180
percent test accuracy 0.621519446373, loop: 1190
percent test accuracy 0.623894512653, loop: 1200
percent test accuracy 0.622269451618, loop: 1210
percent test accuracy 0.621113181114, loop: 1220
percent test accuracy 0.620613157749, loop: 1230
percent test accuracy 0.621394395828, loop: 1240
percent test accuracy 0.621706902981, loop: 1250
percent test accuracy 0.623831987381, loop: 1260
percent test accuracy 0.623331964016, loop: 1270
percent test accuracy 0.621800661087, loop: 1280
percent test accuracy 0.622488200665, loop: 1290
percent test accuracy 0.625550806522, loop: 1300
percent test accuracy 0.625019550323, loop: 1310
percent test accuracy 0.62323820591, loop: 1320
percent test accuracy 0.623269498348, loop: 1330
percent test accuracy 0.622425675392, loop: 1340
percent test accuracy 0.625019550323, loop: 1350
percent test accuracy 0.626113295555, loop: 1360
percent test accuracy 0.628832161427, loop: 1370
percent test accuracy 0.627800881863, loop: 1380
percent test accuracy 0.62661331892, loop: 1390
percent test accuracy 0.628519654274, loop: 1400
percent test accuracy 0.625863313675, loop: 1410
percent test accuracy 0.624863266945, loop: 1420
percent test accuracy 0.625582039356, loop: 1430
percent test accuracy 0.628019630909, loop: 1440
percent test accuracy 0.626394569874, loop: 1450
percent test accuracy 0.626175820827, loop: 1460
percent test accuracy 0.62298822403, loop: 1470
percent test accuracy 0.625175774097, loop: 1480
percent test accuracy 0.628238379955, loop: 1490
percent test accuracy 0.626957118511, loop: 1500
percent test accuracy 0.627144575119, loop: 1510
percent test accuracy 0.627300858498, loop: 1520
percent test accuracy 0.628394663334, loop: 1530
percent test accuracy 0.62648832798, loop: 1540
percent test accuracy 0.629332184792, loop: 1550
percent test accuracy 0.627300858498, loop: 1560
percent test accuracy 0.629519701004, loop: 1570
percent test accuracy 0.630050957203, loop: 1580
percent test accuracy 0.630363464355, loop: 1590
percent test accuracy 0.630707204342, loop: 1600
percent test accuracy 0.628394663334, loop: 1610
percent test accuracy 0.627800881863, loop: 1620
percent test accuracy 0.630238473415, loop: 1630
percent test accuracy 0.632207274437, loop: 1640
percent test accuracy 0.633082270622, loop: 1650
percent test accuracy 0.6337698102, loop: 1660
percent test accuracy 0.631488502026, loop: 1670
percent test accuracy 0.631613492966, loop: 1680
percent test accuracy 0.630800962448, loop: 1690
percent test accuracy 0.632457256317, loop: 1700
percent test accuracy 0.630925953388, loop: 1710
percent test accuracy 0.631894767284, loop: 1720
percent test accuracy 0.629144668579, loop: 1730
percent test accuracy 0.631082236767, loop: 1740
percent test accuracy 0.634426057339, loop: 1750
percent test accuracy 0.633582293987, loop: 1760
percent test accuracy 0.633519768715, loop: 1770
percent test accuracy 0.634488582611, loop: 1780
percent test accuracy 0.638769984245, loop: 1790
percent test accuracy 0.638832449913, loop: 1800
percent test accuracy 0.637207388878, loop: 1810
percent test accuracy 0.636832416058, loop: 1820
percent test accuracy 0.634551107883, loop: 1830
percent test accuracy 0.634207308292, loop: 1840
percent test accuracy 0.632551014423, loop: 1850
percent test accuracy 0.632332265377, loop: 1860
percent test accuracy 0.634301066399, loop: 1870
percent test accuracy 0.63389480114, loop: 1880
percent test accuracy 0.635582387447, loop: 1890
percent test accuracy 0.638051211834, loop: 1900
percent test accuracy 0.636582374573, loop: 1910
percent test accuracy 0.636894881725, loop: 1920
percent test accuracy 0.635269880295, loop: 1930
percent test accuracy 0.634457349777, loop: 1940
percent test accuracy 0.635613620281, loop: 1950
percent test accuracy 0.635457336903, loop: 1960
percent test accuracy 0.633551061153, loop: 1970
percent test accuracy 0.634676098824, loop: 1980
percent test accuracy 0.635238587856, loop: 1990
percent test accuracy 0.63639485836, loop: 2000
