percent test accuracy 0.210327625275, loop: 10
percent test accuracy 0.219740241766, loop: 20
percent test accuracy 0.228402853012, loop: 30
percent test accuracy 0.235265433788, loop: 40
percent test accuracy 0.239877998829, loop: 50
percent test accuracy 0.244628056884, loop: 60
percent test accuracy 0.246965587139, loop: 70
percent test accuracy 0.249965623021, loop: 80
percent test accuracy 0.254840672016, loop: 90
percent test accuracy 0.258440732956, loop: 100
percent test accuracy 0.262378275394, loop: 110
percent test accuracy 0.265228301287, loop: 120
percent test accuracy 0.267440855503, loop: 130
percent test accuracy 0.26774084568, loop: 140
percent test accuracy 0.269903361797, loop: 150
percent test accuracy 0.271253377199, loop: 160
percent test accuracy 0.274390935898, loop: 170
percent test accuracy 0.275903463364, loop: 180
percent test accuracy 0.277990967035, loop: 190
percent test accuracy 0.278753489256, loop: 200
percent test accuracy 0.280003488064, loop: 210
percent test accuracy 0.283878535032, loop: 220
percent test accuracy 0.284916073084, loop: 230
percent test accuracy 0.284966051579, loop: 240
percent test accuracy 0.286941081285, loop: 250
percent test accuracy 0.287453591824, loop: 260
percent test accuracy 0.28872859478, loop: 270
percent test accuracy 0.289991110563, loop: 280
percent test accuracy 0.29300364852, loop: 290
percent test accuracy 0.2960537076, loop: 300
percent test accuracy 0.296253710985, loop: 310
percent test accuracy 0.296078711748, loop: 320
percent test accuracy 0.299816250801, loop: 330
percent test accuracy 0.30195376277, loop: 340
percent test accuracy 0.301603764296, loop: 350
percent test accuracy 0.30320379138, loop: 360
percent test accuracy 0.303628802299, loop: 370
percent test accuracy 0.303903788328, loop: 380
percent test accuracy 0.307128846645, loop: 390
percent test accuracy 0.306453824043, loop: 400
percent test accuracy 0.305416315794, loop: 410
percent test accuracy 0.308078855276, loop: 420
percent test accuracy 0.310028880835, loop: 430
percent test accuracy 0.310153871775, loop: 440
percent test accuracy 0.308528870344, loop: 450
percent test accuracy 0.310866385698, loop: 460
percent test accuracy 0.312166392803, loop: 470
percent test accuracy 0.313191413879, loop: 480
percent test accuracy 0.31426641345, loop: 490
percent test accuracy 0.316541463137, loop: 500
percent test accuracy 0.316978961229, loop: 510
percent test accuracy 0.316666454077, loop: 520
percent test accuracy 0.315966457129, loop: 530
percent test accuracy 0.319016486406, loop: 540
percent test accuracy 0.31960400939, loop: 550
percent test accuracy 0.320428997278, loop: 560
percent test accuracy 0.319466501474, loop: 570
percent test accuracy 0.319328993559, loop: 580
percent test accuracy 0.321479022503, loop: 590
percent test accuracy 0.321829020977, loop: 600
percent test accuracy 0.323629051447, loop: 610
percent test accuracy 0.325516581535, loop: 620
percent test accuracy 0.324979066849, loop: 630
percent test accuracy 0.323941558599, loop: 640
percent test accuracy 0.327091574669, loop: 650
percent test accuracy 0.325879067183, loop: 660
percent test accuracy 0.326491594315, loop: 670
percent test accuracy 0.327816605568, loop: 680
percent test accuracy 0.328691601753, loop: 690
percent test accuracy 0.330741643906, loop: 700
percent test accuracy 0.329916626215, loop: 710
percent test accuracy 0.331366628408, loop: 720
percent test accuracy 0.331291645765, loop: 730
percent test accuracy 0.33475419879, loop: 740
percent test accuracy 0.333404153585, loop: 750
percent test accuracy 0.3349416852, loop: 760
percent test accuracy 0.335741698742, loop: 770
percent test accuracy 0.334179162979, loop: 780
percent test accuracy 0.333954185247, loop: 790
percent test accuracy 0.33390417695, loop: 800
percent test accuracy 0.338066726923, loop: 810
percent test accuracy 0.339429229498, loop: 820
percent test accuracy 0.338641732931, loop: 830
percent test accuracy 0.339204251766, loop: 840
percent test accuracy 0.340441763401, loop: 850
percent test accuracy 0.340279251337, loop: 860
percent test accuracy 0.337741732597, loop: 870
percent test accuracy 0.338191717863, loop: 880
percent test accuracy 0.339166730642, loop: 890
percent test accuracy 0.342791795731, loop: 900
percent test accuracy 0.34257927537, loop: 910
percent test accuracy 0.344279289246, loop: 920
percent test accuracy 0.344929307699, loop: 930
percent test accuracy 0.346754342318, loop: 940
percent test accuracy 0.344341814518, loop: 950
percent test accuracy 0.347141832113, loop: 960
percent test accuracy 0.346329331398, loop: 970
percent test accuracy 0.347266852856, loop: 980
percent test accuracy 0.347229331732, loop: 990
percent test accuracy 0.346704334021, loop: 1000
percent test accuracy 0.346779346466, loop: 1010
percent test accuracy 0.346629321575, loop: 1020
percent test accuracy 0.344641804695, loop: 1030
percent test accuracy 0.347004324198, loop: 1040
percent test accuracy 0.348029345274, loop: 1050
percent test accuracy 0.3494168818, loop: 1060
percent test accuracy 0.351841896772, loop: 1070
percent test accuracy 0.352066904306, loop: 1080
percent test accuracy 0.351429402828, loop: 1090
percent test accuracy 0.350629389286, loop: 1100
percent test accuracy 0.354104429483, loop: 1110
percent test accuracy 0.352429419756, loop: 1120
percent test accuracy 0.356379449368, loop: 1130
percent test accuracy 0.355554431677, loop: 1140
percent test accuracy 0.355104446411, loop: 1150
percent test accuracy 0.352616906166, loop: 1160
percent test accuracy 0.35290440917, loop: 1170
percent test accuracy 0.353941917419, loop: 1180
percent test accuracy 0.357779473066, loop: 1190
percent test accuracy 0.359616994858, loop: 1200
percent test accuracy 0.358179479837, loop: 1210
percent test accuracy 0.357016950846, loop: 1220
percent test accuracy 0.358904480934, loop: 1230
percent test accuracy 0.360229492188, loop: 1240
percent test accuracy 0.360204488039, loop: 1250
percent test accuracy 0.359004497528, loop: 1260
percent test accuracy 0.360329508781, loop: 1270
percent test accuracy 0.361167013645, loop: 1280
percent test accuracy 0.359379500151, loop: 1290
percent test accuracy 0.362604528666, loop: 1300
percent test accuracy 0.36090451479, loop: 1310
percent test accuracy 0.363604545593, loop: 1320
percent test accuracy 0.363879561424, loop: 1330
percent test accuracy 0.365204572678, loop: 1340
percent test accuracy 0.366642087698, loop: 1350
percent test accuracy 0.365592062473, loop: 1360
percent test accuracy 0.363604545593, loop: 1370
percent test accuracy 0.363867044449, loop: 1380
percent test accuracy 0.365629583597, loop: 1390
percent test accuracy 0.367592096329, loop: 1400
percent test accuracy 0.366692095995, loop: 1410
percent test accuracy 0.367242097855, loop: 1420
percent test accuracy 0.367517083883, loop: 1430
percent test accuracy 0.369004607201, loop: 1440
percent test accuracy 0.367604583502, loop: 1450
percent test accuracy 0.369942128658, loop: 1460
percent test accuracy 0.368267089128, loop: 1470
percent test accuracy 0.36737960577, loop: 1480
percent test accuracy 0.369842112064, loop: 1490
percent test accuracy 0.369742125273, loop: 1500
percent test accuracy 0.369579613209, loop: 1510
percent test accuracy 0.369679629803, loop: 1520
percent test accuracy 0.368954598904, loop: 1530
percent test accuracy 0.369954615831, loop: 1540
percent test accuracy 0.369242101908, loop: 1550
percent test accuracy 0.3707421422, loop: 1560
percent test accuracy 0.371329635382, loop: 1570
percent test accuracy 0.370992124081, loop: 1580
percent test accuracy 0.37196713686, loop: 1590
percent test accuracy 0.373679667711, loop: 1600
percent test accuracy 0.373779684305, loop: 1610
percent test accuracy 0.373479664326, loop: 1620
percent test accuracy 0.373179674149, loop: 1630
percent test accuracy 0.373804658651, loop: 1640
percent test accuracy 0.374729692936, loop: 1650
percent test accuracy 0.376017212868, loop: 1660
percent test accuracy 0.374779671431, loop: 1670
percent test accuracy 0.371304631233, loop: 1680
percent test accuracy 0.374679684639, loop: 1690
percent test accuracy 0.374117165804, loop: 1700
percent test accuracy 0.376092195511, loop: 1710
percent test accuracy 0.376542210579, loop: 1720
percent test accuracy 0.375854700804, loop: 1730
percent test accuracy 0.377792209387, loop: 1740
percent test accuracy 0.376679718494, loop: 1750
percent test accuracy 0.375779688358, loop: 1760
percent test accuracy 0.376417219639, loop: 1770
percent test accuracy 0.37941724062, loop: 1780
percent test accuracy 0.379592239857, loop: 1790
percent test accuracy 0.379879742861, loop: 1800
percent test accuracy 0.380229741335, loop: 1810
percent test accuracy 0.380079746246, loop: 1820
percent test accuracy 0.380967259407, loop: 1830
percent test accuracy 0.381292253733, loop: 1840
percent test accuracy 0.381467282772, loop: 1850
percent test accuracy 0.380467265844, loop: 1860
percent test accuracy 0.379517257214, loop: 1870
percent test accuracy 0.379654735327, loop: 1880
percent test accuracy 0.381079763174, loop: 1890
percent test accuracy 0.38402980566, loop: 1900
percent test accuracy 0.382054775953, loop: 1910
percent test accuracy 0.382704794407, loop: 1920
percent test accuracy 0.383092284203, loop: 1930
percent test accuracy 0.382442265749, loop: 1940
percent test accuracy 0.382879793644, loop: 1950
percent test accuracy 0.384367316961, loop: 1960
percent test accuracy 0.382954776287, loop: 1970
percent test accuracy 0.383567303419, loop: 1980
percent test accuracy 0.383467286825, loop: 1990
percent test accuracy 0.386204838753, loop: 2000
percent test accuracy 0.385642319918, loop: 2010
percent test accuracy 0.386467337608, loop: 2020
percent test accuracy 0.385254830122, loop: 2030
percent test accuracy 0.387667357922, loop: 2040
percent test accuracy 0.387917339802, loop: 2050
percent test accuracy 0.388067364693, loop: 2060
percent test accuracy 0.387354850769, loop: 2070
percent test accuracy 0.387467354536, loop: 2080
percent test accuracy 0.388329863548, loop: 2090
percent test accuracy 0.38711732626, loop: 2100
percent test accuracy 0.38711732626, loop: 2110
percent test accuracy 0.388029843569, loop: 2120
percent test accuracy 0.389079868793, loop: 2130
percent test accuracy 0.387792348862, loop: 2140
percent test accuracy 0.38607981801, loop: 2150
percent test accuracy 0.387129843235, loop: 2160
percent test accuracy 0.387292355299, loop: 2170
percent test accuracy 0.389467358589, loop: 2180
percent test accuracy 0.389729857445, loop: 2190
percent test accuracy 0.389704883099, loop: 2200
percent test accuracy 0.389267355204, loop: 2210
percent test accuracy 0.389229863882, loop: 2220
percent test accuracy 0.39035487175, loop: 2230
percent test accuracy 0.389254868031, loop: 2240
percent test accuracy 0.39160490036, loop: 2250
percent test accuracy 0.391017377377, loop: 2260
percent test accuracy 0.390704870224, loop: 2270
percent test accuracy 0.39090487361, loop: 2280
percent test accuracy 0.388517349958, loop: 2290
percent test accuracy 0.389479875565, loop: 2300
percent test accuracy 0.390404880047, loop: 2310
percent test accuracy 0.391154885292, loop: 2320
percent test accuracy 0.390717387199, loop: 2330
percent test accuracy 0.390279889107, loop: 2340
percent test accuracy 0.391404896975, loop: 2350
percent test accuracy 0.392142415047, loop: 2360
percent test accuracy 0.393092423677, loop: 2370
percent test accuracy 0.393692433834, loop: 2380
percent test accuracy 0.392679899931, loop: 2390
percent test accuracy 0.394179940224, loop: 2400
percent test accuracy 0.391242384911, loop: 2410
percent test accuracy 0.394817441702, loop: 2420
percent test accuracy 0.394029915333, loop: 2430
percent test accuracy 0.392479896545, loop: 2440
percent test accuracy 0.39340493083, loop: 2450
percent test accuracy 0.393492430449, loop: 2460
percent test accuracy 0.393167406321, loop: 2470
percent test accuracy 0.394054919481, loop: 2480
percent test accuracy 0.395617455244, loop: 2490
percent test accuracy 0.395192444324, loop: 2500
percent test accuracy 0.395729959011, loop: 2510
percent test accuracy 0.397217452526, loop: 2520
percent test accuracy 0.397042453289, loop: 2530
percent test accuracy 0.396692454815, loop: 2540
percent test accuracy 0.398429989815, loop: 2550
percent test accuracy 0.398579984903, loop: 2560
percent test accuracy 0.398904979229, loop: 2570
percent test accuracy 0.398729979992, loop: 2580
percent test accuracy 0.398654997349, loop: 2590
percent test accuracy 0.400480002165, loop: 2600
percent test accuracy 0.400104999542, loop: 2610
percent test accuracy 0.399504989386, loop: 2620
percent test accuracy 0.400242507458, loop: 2630
percent test accuracy 0.399755001068, loop: 2640
percent test accuracy 0.400130003691, loop: 2650
percent test accuracy 0.399654984474, loop: 2660
percent test accuracy 0.400604993105, loop: 2670
percent test accuracy 0.400017499924, loop: 2680
percent test accuracy 0.401004999876, loop: 2690
percent test accuracy 0.400592505932, loop: 2700
percent test accuracy 0.401892513037, loop: 2710
percent test accuracy 0.401992529631, loop: 2720
percent test accuracy 0.401930034161, loop: 2730
percent test accuracy 0.401480019093, loop: 2740
percent test accuracy 0.402330040932, loop: 2750
percent test accuracy 0.402305036783, loop: 2760
percent test accuracy 0.402705043554, loop: 2770
percent test accuracy 0.403067529202, loop: 2780
percent test accuracy 0.403330028057, loop: 2790
percent test accuracy 0.403655052185, loop: 2800
percent test accuracy 0.401667535305, loop: 2810
percent test accuracy 0.400580018759, loop: 2820
percent test accuracy 0.403167545795, loop: 2830
percent test accuracy 0.401905030012, loop: 2840
percent test accuracy 0.402055025101, loop: 2850
percent test accuracy 0.402392536402, loop: 2860
percent test accuracy 0.401467531919, loop: 2870
percent test accuracy 0.402505040169, loop: 2880
percent test accuracy 0.401417523623, loop: 2890
percent test accuracy 0.402705043554, loop: 2900
percent test accuracy 0.40351754427, loop: 2910
percent test accuracy 0.403105050325, loop: 2920
percent test accuracy 0.402167528868, loop: 2930
percent test accuracy 0.404480069876, loop: 2940
percent test accuracy 0.405217558146, loop: 2950
percent test accuracy 0.406405091286, loop: 2960
percent test accuracy 0.405492573977, loop: 2970
percent test accuracy 0.404942572117, loop: 2980
percent test accuracy 0.405642569065, loop: 2990
percent test accuracy 0.406367570162, loop: 3000


percent test accuracy 0.406505078077, loop: 10
percent test accuracy 0.405517578125, loop: 20
percent test accuracy 0.406517595053, loop: 30
percent test accuracy 0.407205104828, loop: 40
percent test accuracy 0.409142613411, loop: 50
percent test accuracy 0.408530116081, loop: 60
percent test accuracy 0.407880097628, loop: 70
percent test accuracy 0.408280104399, loop: 80
percent test accuracy 0.4068800807, loop: 90
percent test accuracy 0.408205091953, loop: 100
percent test accuracy 0.40694257617, loop: 110
percent test accuracy 0.408430099487, loop: 120
percent test accuracy 0.409217625856, loop: 130
percent test accuracy 0.408280104399, loop: 140
percent test accuracy 0.407705098391, loop: 150
percent test accuracy 0.4086176157, loop: 160
percent test accuracy 0.409155100584, loop: 170
percent test accuracy 0.408967614174, loop: 180
percent test accuracy 0.409167617559, loop: 190
percent test accuracy 0.409817636013, loop: 200
percent test accuracy 0.408180087805, loop: 210
percent test accuracy 0.408267617226, loop: 220
percent test accuracy 0.410367637873, loop: 230
percent test accuracy 0.411317646503, loop: 240
percent test accuracy 0.411292642355, loop: 250
percent test accuracy 0.4092926085, loop: 260
percent test accuracy 0.408655107021, loop: 270
percent test accuracy 0.408880114555, loop: 280
percent test accuracy 0.408705115318, loop: 290
percent test accuracy 0.409705132246, loop: 300
percent test accuracy 0.411017626524, loop: 310
percent test accuracy 0.412642657757, loop: 320
percent test accuracy 0.413267672062, loop: 330
percent test accuracy 0.41259264946, loop: 340
percent test accuracy 0.411530137062, loop: 350
percent test accuracy 0.410192638636, loop: 360
percent test accuracy 0.412192642689, loop: 370
percent test accuracy 0.412505149841, loop: 380
percent test accuracy 0.413330167532, loop: 390
percent test accuracy 0.412317663431, loop: 400
percent test accuracy 0.412017643452, loop: 410
percent test accuracy 0.411442637444, loop: 420
percent test accuracy 0.413130164146, loop: 430
percent test accuracy 0.413692682981, loop: 440
percent test accuracy 0.415017694235, loop: 450
percent test accuracy 0.412692666054, loop: 460
percent test accuracy 0.412205159664, loop: 470
percent test accuracy 0.412817656994, loop: 480
percent test accuracy 0.413430154324, loop: 490
percent test accuracy 0.413805186749, loop: 500
percent test accuracy 0.4137801826, loop: 510
percent test accuracy 0.413692682981, loop: 520
percent test accuracy 0.415180176497, loop: 530
percent test accuracy 0.41191765666, loop: 540
percent test accuracy 0.414492666721, loop: 550
percent test accuracy 0.414492666721, loop: 560
percent test accuracy 0.413805186749, loop: 570
percent test accuracy 0.415267676115, loop: 580
percent test accuracy 0.417042702436, loop: 590
percent test accuracy 0.416667699814, loop: 600
percent test accuracy 0.416405200958, loop: 610
percent test accuracy 0.414580196142, loop: 620
percent test accuracy 0.417380213737, loop: 630
percent test accuracy 0.417105227709, loop: 640
percent test accuracy 0.418217718601, loop: 650
percent test accuracy 0.417005211115, loop: 660
percent test accuracy 0.417155206203, loop: 670
percent test accuracy 0.418555229902, loop: 680
percent test accuracy 0.416892707348, loop: 690
percent test accuracy 0.417680233717, loop: 700
percent test accuracy 0.418467730284, loop: 710
percent test accuracy 0.419267743826, loop: 720
percent test accuracy 0.418480217457, loop: 730
percent test accuracy 0.418530225754, loop: 740
percent test accuracy 0.418955236673, loop: 750
percent test accuracy 0.41625520587, loop: 760
percent test accuracy 0.418705224991, loop: 770
percent test accuracy 0.418580234051, loop: 780
percent test accuracy 0.417855232954, loop: 790
percent test accuracy 0.417805224657, loop: 800
percent test accuracy 0.419405251741, loop: 810
percent test accuracy 0.419105231762, loop: 820
percent test accuracy 0.419942736626, loop: 830
percent test accuracy 0.419730246067, loop: 840
percent test accuracy 0.420855253935, loop: 850
percent test accuracy 0.42148026824, loop: 860
percent test accuracy 0.420792758465, loop: 870
percent test accuracy 0.422042787075, loop: 880
percent test accuracy 0.420617759228, loop: 890
percent test accuracy 0.419867753983, loop: 900
percent test accuracy 0.42010524869, loop: 910
percent test accuracy 0.419992744923, loop: 920
percent test accuracy 0.421880275011, loop: 930
percent test accuracy 0.421242773533, loop: 940
percent test accuracy 0.419217735529, loop: 950
percent test accuracy 0.41949275136, loop: 960
percent test accuracy 0.420605272055, loop: 970
percent test accuracy 0.420805245638, loop: 980
percent test accuracy 0.420155256987, loop: 990
percent test accuracy 0.421142756939, loop: 1000
percent test accuracy 0.42160525918, loop: 1010
percent test accuracy 0.421992778778, loop: 1020
percent test accuracy 0.421242773533, loop: 1030
percent test accuracy 0.422955274582, loop: 1040
percent test accuracy 0.422242790461, loop: 1050
percent test accuracy 0.42353028059, loop: 1060
percent test accuracy 0.421505272388, loop: 1070
percent test accuracy 0.421830266714, loop: 1080
percent test accuracy 0.422317773104, loop: 1090
percent test accuracy 0.422180265188, loop: 1100
percent test accuracy 0.421780258417, loop: 1110
percent test accuracy 0.422017782927, loop: 1120
percent test accuracy 0.421455264091, loop: 1130
percent test accuracy 0.423717796803, loop: 1140
percent test accuracy 0.423542797565, loop: 1150
percent test accuracy 0.424505293369, loop: 1160
percent test accuracy 0.425105303526, loop: 1170
percent test accuracy 0.426130324602, loop: 1180
percent test accuracy 0.424142807722, loop: 1190
percent test accuracy 0.424617797136, loop: 1200
percent test accuracy 0.423630297184, loop: 1210
percent test accuracy 0.42484280467, loop: 1220
percent test accuracy 0.425130307674, loop: 1230
percent test accuracy 0.426630318165, loop: 1240
percent test accuracy 0.424217790365, loop: 1250
percent test accuracy 0.42389279604, loop: 1260
percent test accuracy 0.425067812204, loop: 1270
percent test accuracy 0.425892829895, loop: 1280
percent test accuracy 0.426155328751, loop: 1290
percent test accuracy 0.427630335093, loop: 1300
percent test accuracy 0.427505344152, loop: 1310
percent test accuracy 0.426667839289, loop: 1320
percent test accuracy 0.424330294132, loop: 1330
percent test accuracy 0.425855308771, loop: 1340
percent test accuracy 0.42713034153, loop: 1350
percent test accuracy 0.426842838526, loop: 1360
percent test accuracy 0.428055346012, loop: 1370
percent test accuracy 0.427430331707, loop: 1380
percent test accuracy 0.425642818213, loop: 1390
percent test accuracy 0.427605330944, loop: 1400
percent test accuracy 0.428430348635, loop: 1410
percent test accuracy 0.428242862225, loop: 1420
percent test accuracy 0.426780343056, loop: 1430
percent test accuracy 0.427242845297, loop: 1440
percent test accuracy 0.428067862988, loop: 1450
percent test accuracy 0.428530365229, loop: 1460
percent test accuracy 0.427767843008, loop: 1470
percent test accuracy 0.428555369377, loop: 1480
percent test accuracy 0.428417861462, loop: 1490
percent test accuracy 0.428717851639, loop: 1500
percent test accuracy 0.429105371237, loop: 1510
percent test accuracy 0.43043038249, loop: 1520
percent test accuracy 0.429792881012, loop: 1530
percent test accuracy 0.429442882538, loop: 1540
percent test accuracy 0.429730385542, loop: 1550
percent test accuracy 0.430580377579, loop: 1560
percent test accuracy 0.429680377245, loop: 1570
percent test accuracy 0.430880397558, loop: 1580
percent test accuracy 0.430080384016, loop: 1590
percent test accuracy 0.430317878723, loop: 1600
percent test accuracy 0.430967897177, loop: 1610
percent test accuracy 0.431755393744, loop: 1620
percent test accuracy 0.43180540204, loop: 1630
percent test accuracy 0.429142862558, loop: 1640
percent test accuracy 0.430267870426, loop: 1650
percent test accuracy 0.431480407715, loop: 1660
percent test accuracy 0.43049287796, loop: 1670
percent test accuracy 0.431930392981, loop: 1680
percent test accuracy 0.432017892599, loop: 1690
percent test accuracy 0.431842893362, loop: 1700
percent test accuracy 0.431480407715, loop: 1710
percent test accuracy 0.431967914104, loop: 1720
percent test accuracy 0.432130396366, loop: 1730
percent test accuracy 0.432030409575, loop: 1740
percent test accuracy 0.428780347109, loop: 1750
percent test accuracy 0.430655390024, loop: 1760
percent test accuracy 0.431892901659, loop: 1770
percent test accuracy 0.430805385113, loop: 1780
percent test accuracy 0.430317878723, loop: 1790
percent test accuracy 0.430892884731, loop: 1800
percent test accuracy 0.430405378342, loop: 1810
percent test accuracy 0.430517882109, loop: 1820
percent test accuracy 0.431405395269, loop: 1830
percent test accuracy 0.431292891502, loop: 1840
percent test accuracy 0.432605415583, loop: 1850
percent test accuracy 0.433242917061, loop: 1860
percent test accuracy 0.433830410242, loop: 1870
percent test accuracy 0.432092905045, loop: 1880
percent test accuracy 0.431867897511, loop: 1890
percent test accuracy 0.431367903948, loop: 1900
percent test accuracy 0.430567890406, loop: 1910
percent test accuracy 0.432942897081, loop: 1920
percent test accuracy 0.434505432844, loop: 1930
percent test accuracy 0.434667944908, loop: 1940
percent test accuracy 0.434030413628, loop: 1950
percent test accuracy 0.434917926788, loop: 1960
percent test accuracy 0.434305429459, loop: 1970
percent test accuracy 0.434167921543, loop: 1980
percent test accuracy 0.433780431747, loop: 1990
percent test accuracy 0.435242950916, loop: 2000
percent test accuracy 0.43553045392, loop: 2010
percent test accuracy 0.434380441904, loop: 2020
percent test accuracy 0.433905422688, loop: 2030
percent test accuracy 0.435480445623, loop: 2040
percent test accuracy 0.434367924929, loop: 2050
percent test accuracy 0.436330467463, loop: 2060
percent test accuracy 0.434392929077, loop: 2070
percent test accuracy 0.435905456543, loop: 2080
percent test accuracy 0.436842948198, loop: 2090
percent test accuracy 0.436355441809, loop: 2100
percent test accuracy 0.437605470419, loop: 2110
percent test accuracy 0.437342971563, loop: 2120
percent test accuracy 0.435405433178, loop: 2130
percent test accuracy 0.436467945576, loop: 2140
percent test accuracy 0.436767965555, loop: 2150
percent test accuracy 0.436917960644, loop: 2160
percent test accuracy 0.437417954206, loop: 2170
percent test accuracy 0.434305429459, loop: 2180
percent test accuracy 0.435417950153, loop: 2190
