percent test accuracy 0.204116910696, loop: 10
percent test accuracy 0.204730823636, loop: 20
percent test accuracy 0.205231964588, loop: 30
percent test accuracy 0.203653350472, loop: 40
percent test accuracy 0.206785514951, loop: 50
percent test accuracy 0.206948399544, loop: 60
percent test accuracy 0.205645412207, loop: 70
percent test accuracy 0.206221729517, loop: 80
percent test accuracy 0.20600874722, loop: 90
percent test accuracy 0.207862988114, loop: 100
percent test accuracy 0.204768404365, loop: 110
percent test accuracy 0.206409662962, loop: 120
percent test accuracy 0.206948399544, loop: 130
percent test accuracy 0.209078267217, loop: 140
percent test accuracy 0.209529295564, loop: 150
percent test accuracy 0.210719525814, loop: 160
percent test accuracy 0.208765044808, loop: 170
percent test accuracy 0.209729760885, loop: 180
percent test accuracy 0.209479182959, loop: 190
percent test accuracy 0.209278717637, loop: 200
percent test accuracy 0.208176195621, loop: 210
percent test accuracy 0.209842517972, loop: 220
percent test accuracy 0.212937086821, loop: 230
percent test accuracy 0.21263641119, loop: 240
percent test accuracy 0.213976979256, loop: 250
percent test accuracy 0.21144618094, loop: 260
percent test accuracy 0.211458712816, loop: 270
percent test accuracy 0.209829986095, loop: 280
percent test accuracy 0.211897209287, loop: 290
percent test accuracy 0.214853972197, loop: 300
percent test accuracy 0.211045265198, loop: 310
percent test accuracy 0.212724104524, loop: 320
percent test accuracy 0.209566891193, loop: 330
percent test accuracy 0.210894927382, loop: 340
percent test accuracy 0.210606768727, loop: 350
percent test accuracy 0.210293546319, loop: 360
percent test accuracy 0.210844814777, loop: 370
percent test accuracy 0.210656881332, loop: 380
percent test accuracy 0.210193321109, loop: 390
percent test accuracy 0.210193321109, loop: 400
percent test accuracy 0.210519060493, loop: 410
percent test accuracy 0.210894927382, loop: 420
percent test accuracy 0.210581704974, loop: 430
percent test accuracy 0.212085142732, loop: 440
percent test accuracy 0.213989496231, loop: 450
percent test accuracy 0.214252606034, loop: 460
percent test accuracy 0.213375598192, loop: 470
percent test accuracy 0.213901802897, loop: 480
percent test accuracy 0.216507762671, loop: 490
percent test accuracy 0.21487903595, loop: 500
percent test accuracy 0.212648928165, loop: 510
percent test accuracy 0.207900568843, loop: 520
percent test accuracy 0.213062375784, loop: 530
percent test accuracy 0.213663756847, loop: 540
percent test accuracy 0.212035030127, loop: 550
percent test accuracy 0.214139848948, loop: 560
percent test accuracy 0.211057797074, loop: 570
percent test accuracy 0.209729760885, loop: 580
percent test accuracy 0.215292483568, loop: 590
percent test accuracy 0.211947336793, loop: 600
percent test accuracy 0.210381239653, loop: 610
percent test accuracy 0.212673991919, loop: 620
percent test accuracy 0.214052140713, loop: 630
percent test accuracy 0.212511122227, loop: 640
percent test accuracy 0.216319829226, loop: 650
percent test accuracy 0.210594236851, loop: 660
percent test accuracy 0.214929148555, loop: 670
percent test accuracy 0.213400647044, loop: 680
percent test accuracy 0.217246949673, loop: 690
percent test accuracy 0.209729760885, loop: 700
percent test accuracy 0.212410897017, loop: 710
percent test accuracy 0.21202249825, loop: 720
percent test accuracy 0.214052140713, loop: 730
percent test accuracy 0.213851690292, loop: 740
percent test accuracy 0.211258247495, loop: 750
percent test accuracy 0.214904099703, loop: 760
percent test accuracy 0.215492933989, loop: 770
percent test accuracy 0.21555557847, loop: 780
percent test accuracy 0.217472463846, loop: 790
percent test accuracy 0.215279951692, loop: 800
percent test accuracy 0.215605691075, loop: 810
percent test accuracy 0.209591940045, loop: 820
percent test accuracy 0.214478120208, loop: 830
percent test accuracy 0.211596533656, loop: 840
percent test accuracy 0.215442821383, loop: 850
percent test accuracy 0.217397302389, loop: 860
percent test accuracy 0.215054437518, loop: 870
percent test accuracy 0.217184305191, loop: 880
percent test accuracy 0.215204775333, loop: 890
percent test accuracy 0.215743511915, loop: 900
percent test accuracy 0.214766278863, loop: 910
percent test accuracy 0.216921210289, loop: 920
percent test accuracy 0.210443884134, loop: 930
percent test accuracy 0.21097008884, loop: 940
percent test accuracy 0.213601112366, loop: 950
percent test accuracy 0.214578345418, loop: 960
percent test accuracy 0.213726401329, loop: 970
percent test accuracy 0.212586298585, loop: 980
percent test accuracy 0.213926851749, loop: 990
percent test accuracy 0.215605691075, loop: 1000
percent test accuracy 0.217798218131, loop: 1010
percent test accuracy 0.214615941048, loop: 1020
percent test accuracy 0.21841211617, loop: 1030
percent test accuracy 0.210281014442, loop: 1040
percent test accuracy 0.211095377803, loop: 1050
percent test accuracy 0.21769797802, loop: 1060
percent test accuracy 0.218875676394, loop: 1070
percent test accuracy 0.216557875276, loop: 1080
percent test accuracy 0.217998668551, loop: 1090
percent test accuracy 0.218900740147, loop: 1100
percent test accuracy 0.220078423619, loop: 1110
percent test accuracy 0.213651224971, loop: 1120
percent test accuracy 0.214465588331, loop: 1130
percent test accuracy 0.218362003565, loop: 1140
percent test accuracy 0.210243433714, loop: 1150
percent test accuracy 0.211872160435, loop: 1160
percent test accuracy 0.215781092644, loop: 1170
percent test accuracy 0.210832282901, loop: 1180
percent test accuracy 0.210907444358, loop: 1190
percent test accuracy 0.215066969395, loop: 1200
percent test accuracy 0.215530529618, loop: 1210
percent test accuracy 0.2127366364, loop: 1220
percent test accuracy 0.216194540262, loop: 1230
percent test accuracy 0.215405240655, loop: 1240
percent test accuracy 0.217347174883, loop: 1250
percent test accuracy 0.21263641119, loop: 1260
percent test accuracy 0.218199133873, loop: 1270
percent test accuracy 0.215893864632, loop: 1280
percent test accuracy 0.217848330736, loop: 1290
percent test accuracy 0.211859628558, loop: 1300
percent test accuracy 0.216996386647, loop: 1310
percent test accuracy 0.215956494212, loop: 1320
percent test accuracy 0.214265137911, loop: 1330
percent test accuracy 0.214904099703, loop: 1340
percent test accuracy 0.212147787213, loop: 1350
percent test accuracy 0.209040686488, loop: 1360
percent test accuracy 0.209391489625, loop: 1370
percent test accuracy 0.212686523795, loop: 1380
percent test accuracy 0.211458712816, loop: 1390
percent test accuracy 0.213413178921, loop: 1400
percent test accuracy 0.215292483568, loop: 1410
percent test accuracy 0.209491714835, loop: 1420
percent test accuracy 0.213413178921, loop: 1430
percent test accuracy 0.213976979256, loop: 1440
percent test accuracy 0.214064672589, loop: 1450
percent test accuracy 0.214578345418, loop: 1460
percent test accuracy 0.214139848948, loop: 1470
percent test accuracy 0.217535108328, loop: 1480
percent test accuracy 0.219677507877, loop: 1490
percent test accuracy 0.213488355279, loop: 1500
percent test accuracy 0.220228776336, loop: 1510
percent test accuracy 0.211183086038, loop: 1520
percent test accuracy 0.209754809737, loop: 1530
percent test accuracy 0.213525936007, loop: 1540
percent test accuracy 0.215643286705, loop: 1550
percent test accuracy 0.215605691075, loop: 1560
percent test accuracy 0.211020201445, loop: 1570
percent test accuracy 0.213137552142, loop: 1580
percent test accuracy 0.213538467884, loop: 1590
percent test accuracy 0.217622816563, loop: 1600
percent test accuracy 0.211170554161, loop: 1610
percent test accuracy 0.215756043792, loop: 1620
percent test accuracy 0.215129613876, loop: 1630
percent test accuracy 0.209829986095, loop: 1640
percent test accuracy 0.218061313033, loop: 1650
percent test accuracy 0.21793602407, loop: 1660
percent test accuracy 0.207800343633, loop: 1670
percent test accuracy 0.214716166258, loop: 1680
percent test accuracy 0.213926851749, loop: 1690
percent test accuracy 0.209804922342, loop: 1700
percent test accuracy 0.212511122227, loop: 1710
percent test accuracy 0.215655818582, loop: 1720
percent test accuracy 0.210456416011, loop: 1730
percent test accuracy 0.209967806935, loop: 1740
percent test accuracy 0.215668335557, loop: 1750
percent test accuracy 0.213250309229, loop: 1760
percent test accuracy 0.221418991685, loop: 1770
percent test accuracy 0.213275372982, loop: 1780
percent test accuracy 0.208514481783, loop: 1790
percent test accuracy 0.210531592369, loop: 1800
percent test accuracy 0.221168428659, loop: 1810
percent test accuracy 0.208163678646, loop: 1820
percent test accuracy 0.211834564805, loop: 1830
percent test accuracy 0.218938320875, loop: 1840
percent test accuracy 0.209090799093, loop: 1850
percent test accuracy 0.212548702955, loop: 1860
percent test accuracy 0.215956494212, loop: 1870
percent test accuracy 0.215943977237, loop: 1880
percent test accuracy 0.215079501271, loop: 1890
percent test accuracy 0.212786749005, loop: 1900
percent test accuracy 0.20825137198, loop: 1910
percent test accuracy 0.218199133873, loop: 1920
percent test accuracy 0.213701337576, loop: 1930
percent test accuracy 0.216457650065, loop: 1940
percent test accuracy 0.217484995723, loop: 1950
percent test accuracy 0.216795921326, loop: 1960
percent test accuracy 0.216081783175, loop: 1970
percent test accuracy 0.21487903595, loop: 1980
percent test accuracy 0.209078267217, loop: 1990
percent test accuracy 0.215718463063, loop: 2000
percent test accuracy 0.214578345418, loop: 2010
percent test accuracy 0.215730980039, loop: 2020
percent test accuracy 0.218825563788, loop: 2030
percent test accuracy 0.210807219148, loop: 2040
percent test accuracy 0.216094315052, loop: 2050
percent test accuracy 0.216294780374, loop: 2060
percent test accuracy 0.219477057457, loop: 2070
percent test accuracy 0.213926851749, loop: 2080
percent test accuracy 0.213914334774, loop: 2090
percent test accuracy 0.218224182725, loop: 2100
percent test accuracy 0.217973619699, loop: 2110
percent test accuracy 0.216770857573, loop: 2120
percent test accuracy 0.219451993704, loop: 2130
percent test accuracy 0.21593144536, loop: 2140
percent test accuracy 0.214891567826, loop: 2150
percent test accuracy 0.209015622735, loop: 2160
percent test accuracy 0.214803859591, loop: 2170
percent test accuracy 0.215994089842, loop: 2180
percent test accuracy 0.220015779138, loop: 2190
percent test accuracy 0.209504246712, loop: 2200
percent test accuracy 0.20838919282, loop: 2210
percent test accuracy 0.213763982058, loop: 2220
percent test accuracy 0.214803859591, loop: 2230
percent test accuracy 0.213576048613, loop: 2240
percent test accuracy 0.218023732305, loop: 2250
percent test accuracy 0.210569173098, loop: 2260
percent test accuracy 0.215956494212, loop: 2270
percent test accuracy 0.212047562003, loop: 2280
percent test accuracy 0.206798046827, loop: 2290
percent test accuracy 0.216820985079, loop: 2300
percent test accuracy 0.213864207268, loop: 2310
percent test accuracy 0.213538467884, loop: 2320
percent test accuracy 0.215881332755, loop: 2330
percent test accuracy 0.208163678646, loop: 2340
percent test accuracy 0.210594236851, loop: 2350
percent test accuracy 0.210494011641, loop: 2360
percent test accuracy 0.204354956746, loop: 2370
percent test accuracy 0.217510059476, loop: 2380
percent test accuracy 0.214352831244, loop: 2390
percent test accuracy 0.216582939029, loop: 2400
percent test accuracy 0.215292483568, loop: 2410
percent test accuracy 0.216332361102, loop: 2420
percent test accuracy 0.213976979256, loop: 2430
percent test accuracy 0.214365363121, loop: 2440
percent test accuracy 0.209341362119, loop: 2450
percent test accuracy 0.214277654886, loop: 2460
percent test accuracy 0.213726401329, loop: 2470
percent test accuracy 0.20835159719, loop: 2480
percent test accuracy 0.209930211306, loop: 2490
percent test accuracy 0.213839158416, loop: 2500
percent test accuracy 0.204705759883, loop: 2510
percent test accuracy 0.216683164239, loop: 2520
percent test accuracy 0.214478120208, loop: 2530
percent test accuracy 0.219401881099, loop: 2540
percent test accuracy 0.214628458023, loop: 2550
percent test accuracy 0.218449696898, loop: 2560
percent test accuracy 0.217723041773, loop: 2570
percent test accuracy 0.206597596407, loop: 2580
percent test accuracy 0.211721807718, loop: 2590
percent test accuracy 0.207198962569, loop: 2600
percent test accuracy 0.211371004581, loop: 2610
percent test accuracy 0.212611347437, loop: 2620
percent test accuracy 0.215004324913, loop: 2630
percent test accuracy 0.213713869452, loop: 2640
percent test accuracy 0.209942743182, loop: 2650
percent test accuracy 0.212147787213, loop: 2660
percent test accuracy 0.209842517972, loop: 2670
percent test accuracy 0.216382473707, loop: 2680
percent test accuracy 0.212749168277, loop: 2690
percent test accuracy 0.203916460276, loop: 2700
percent test accuracy 0.218474760652, loop: 2710
percent test accuracy 0.21664558351, loop: 2720
percent test accuracy 0.217033967376, loop: 2730
percent test accuracy 0.213325485587, loop: 2740
percent test accuracy 0.212310656905, loop: 2750
percent test accuracy 0.211558938026, loop: 2760
percent test accuracy 0.211195603013, loop: 2770
percent test accuracy 0.215179726481, loop: 2780
percent test accuracy 0.20682311058, loop: 2790
percent test accuracy 0.213563531637, loop: 2800
percent test accuracy 0.216482698917, loop: 2810
percent test accuracy 0.209115847945, loop: 2820
percent test accuracy 0.207537248731, loop: 2830
percent test accuracy 0.215743511915, loop: 2840
percent test accuracy 0.212824329734, loop: 2850
percent test accuracy 0.215605691075, loop: 2860
percent test accuracy 0.209855049849, loop: 2870
percent test accuracy 0.213738933206, loop: 2880
percent test accuracy 0.213375598192, loop: 2890
percent test accuracy 0.216106846929, loop: 2900
percent test accuracy 0.213388130069, loop: 2910
percent test accuracy 0.204868629575, loop: 2920
percent test accuracy 0.216733276844, loop: 2930
percent test accuracy 0.213538467884, loop: 2940
percent test accuracy 0.213864207268, loop: 2950
percent test accuracy 0.21555557847, loop: 2960
percent test accuracy 0.216958791018, loop: 2970
percent test accuracy 0.220028311014, loop: 2980
percent test accuracy 0.213024795055, loop: 2990
percent test accuracy 0.207161381841, loop: 3000
