percent test accuracy 0.500846087933, loop: 10
percent test accuracy 0.503070950508, loop: 20
percent test accuracy 0.505765855312, loop: 30
percent test accuracy 0.505953848362, loop: 40
percent test accuracy 0.509620189667, loop: 50
percent test accuracy 0.508335411549, loop: 60
percent test accuracy 0.509902238846, loop: 70
percent test accuracy 0.510842323303, loop: 80
percent test accuracy 0.514101266861, loop: 90
percent test accuracy 0.517610907555, loop: 100
percent test accuracy 0.517234921455, loop: 110
percent test accuracy 0.508335411549, loop: 120
percent test accuracy 0.516482830048, loop: 130
percent test accuracy 0.516827523708, loop: 140
percent test accuracy 0.509870886803, loop: 150
percent test accuracy 0.520493865013, loop: 160
percent test accuracy 0.524661540985, loop: 170
percent test accuracy 0.519585132599, loop: 180
percent test accuracy 0.517234921455, loop: 190
percent test accuracy 0.52108925581, loop: 200
percent test accuracy 0.522374033928, loop: 210
percent test accuracy 0.514978706837, loop: 220
percent test accuracy 0.523063421249, loop: 230
percent test accuracy 0.52278137207, loop: 240
percent test accuracy 0.530584096909, loop: 250
percent test accuracy 0.523784160614, loop: 260
percent test accuracy 0.526573061943, loop: 270
percent test accuracy 0.523345470428, loop: 280
percent test accuracy 0.519741773605, loop: 290
percent test accuracy 0.52206069231, loop: 300
percent test accuracy 0.522687375546, loop: 310
percent test accuracy 0.526667058468, loop: 320
percent test accuracy 0.523658812046, loop: 330
percent test accuracy 0.533968389034, loop: 340
percent test accuracy 0.530960142612, loop: 350
percent test accuracy 0.520713210106, loop: 360
percent test accuracy 0.532307624817, loop: 370
percent test accuracy 0.526886463165, loop: 380
percent test accuracy 0.517234921455, loop: 390
percent test accuracy 0.525695681572, loop: 400
percent test accuracy 0.525131583214, loop: 410
percent test accuracy 0.524786889553, loop: 420
percent test accuracy 0.537196040154, loop: 430
percent test accuracy 0.524410903454, loop: 440
percent test accuracy 0.527920544147, loop: 450
percent test accuracy 0.522280037403, loop: 460
percent test accuracy 0.524316847324, loop: 470
percent test accuracy 0.537979424, loop: 480
percent test accuracy 0.532088220119, loop: 490
percent test accuracy 0.525507628918, loop: 500
percent test accuracy 0.523815512657, loop: 510
percent test accuracy 0.525789678097, loop: 520
percent test accuracy 0.521841287613, loop: 530
percent test accuracy 0.525037586689, loop: 540
percent test accuracy 0.528547227383, loop: 550
percent test accuracy 0.525037586689, loop: 560
percent test accuracy 0.535409867764, loop: 570
percent test accuracy 0.5228754282, loop: 580
percent test accuracy 0.520650565624, loop: 590
percent test accuracy 0.517610907555, loop: 600
percent test accuracy 0.530396103859, loop: 610
percent test accuracy 0.5242228508, loop: 620
percent test accuracy 0.518425643444, loop: 630
percent test accuracy 0.52243667841, loop: 640
percent test accuracy 0.521778643131, loop: 650
percent test accuracy 0.506831288338, loop: 660
percent test accuracy 0.530176758766, loop: 670
percent test accuracy 0.525946378708, loop: 680
percent test accuracy 0.526385068893, loop: 690
percent test accuracy 0.534125089645, loop: 700
percent test accuracy 0.532934308052, loop: 710
percent test accuracy 0.534156441689, loop: 720
percent test accuracy 0.514163970947, loop: 730
percent test accuracy 0.536538004875, loop: 740
percent test accuracy 0.520086467266, loop: 750
percent test accuracy 0.531555533409, loop: 760
percent test accuracy 0.527826547623, loop: 770
percent test accuracy 0.523627460003, loop: 780
percent test accuracy 0.513944625854, loop: 790
percent test accuracy 0.5114377141, loop: 800
percent test accuracy 0.531837582588, loop: 810
percent test accuracy 0.519177734852, loop: 820
percent test accuracy 0.533623695374, loop: 830
percent test accuracy 0.528515934944, loop: 840
percent test accuracy 0.530270755291, loop: 850
percent test accuracy 0.531868875027, loop: 860
percent test accuracy 0.525664329529, loop: 870
percent test accuracy 0.526040375233, loop: 880
percent test accuracy 0.514351963997, loop: 890
percent test accuracy 0.523000776768, loop: 900
percent test accuracy 0.531242191792, loop: 910
percent test accuracy 0.533341705799, loop: 920
percent test accuracy 0.534156441689, loop: 930
percent test accuracy 0.532840311527, loop: 940
percent test accuracy 0.524128854275, loop: 950
